,0,1,Author,Book,Date,Genre,Publisher,Year
0,,,Warwick Deeping,The Ten Commandments,October 12,fiction,,1931
1,,,No List Published,No List Published,October 19,fiction,,1931
2,,,No List Published,No List Published,October 26,fiction,,1931
3,,,No List Published,No List Published,November 2,fiction,,1931
4,,,No List Published,No List Published,November 9,fiction,,1931
5,,,John Galsworthy,Maid in Waiting,November 16,fiction,,1931
6,,,No List Published,No List Published,November 23,fiction,,1931
7,,,John Galsworthy,Maid in Waiting,November 30,fiction,,1931
8,,,John Galsworthy,Maid in Waiting,December 7,fiction,,1931
9,,,John Galsworthy,Maid in Waiting,December 14,fiction,,1931
10,,,John Galsworthy,Maid in Waiting,December 21,fiction,,1931
11,,,John Galsworthy,Maid in Waiting,December 28,fiction,,1931
12,,,John Galsworthy,Maid in Waiting,January 4,fiction,,1932
13,,,William McFee,The Harbourmaster,January 11,fiction,,1932
14,,,William McFee,The Harbourmaster,January 18,fiction,,1932
15,,,Francis Brett Young,Mr. and Mrs. Pennington,January 25,fiction,,1932
16,,,Francis Brett Young,Mr. and Mrs. Pennington,February 1,fiction,,1932
17,,,Robert Herrick,The End of Desire,February 8,fiction,,1932
18,,,Booth Tarkington,Mary's Neck,February 15,fiction,,1932
19,,,Booth Tarkington,Mary's Neck,February 22,fiction,,1932
20,,,Booth Tarkington,Mary's Neck,February 29,fiction,,1932
21,,,Booth Tarkington,Mary's Neck,March 7,fiction,,1932
22,,,Booth Tarkington,Mary's Neck,March 14,fiction,,1932
23,,,Booth Tarkington,Mary's Neck,March 21,fiction,,1932
24,,,Booth Tarkington,Mary's Neck,March 28,fiction,,1932
25,,,Louis Golding,Magnolia Street,April 4,fiction,,1932
26,,,Louis Golding,Magnolia Street,April 11,fiction,,1932
27,,,Louis Golding,Magnolia Street,April 18,fiction,,1932
28,,,Louis Golding,Magnolia Street,April 25,fiction,,1932
29,,,Julia Peterkin,Bright Skin,May 2,fiction,,1932
30,,,Louis Bromfield,A Modern Hero,May 9,fiction,,1932
