Date,Book,Author,Year,Genre
January 2,A Tree Grows in Brooklyn,Betty Smith,1944,fiction
January 9,A Tree Grows in Brooklyn,Betty Smith,1944,fiction
January 16,A Tree Grows in Brooklyn,Betty Smith,1944,fiction
January 23,A Tree Grows in Brooklyn,Betty Smith,1944,fiction
January 30,A Tree Grows in Brooklyn,Betty Smith,1944,fiction
February 6,A Tree Grows in Brooklyn,Betty Smith,1944,fiction
February 13,A Tree Grows in Brooklyn,Betty Smith,1944,fiction
February 20,A Tree Grows in Brooklyn,Betty Smith,1944,fiction
February 27,A Tree Grows in Brooklyn,Betty Smith,1944,fiction
March 5,A Tree Grows in Brooklyn,Betty Smith,1944,fiction
March 12,A Tree Grows in Brooklyn,Betty Smith,1944,fiction
March 19,A Tree Grows in Brooklyn,Betty Smith,1944,fiction
March 26,A Tree Grows in Brooklyn,Betty Smith,1944,fiction
April 2,A Tree Grows in Brooklyn,Betty Smith,1944,fiction
April 9,A Tree Grows in Brooklyn,Betty Smith,1944,fiction
April 16,A Tree Grows in Brooklyn,Betty Smith,1944,fiction
April 23,A Tree Grows in Brooklyn,Betty Smith,1944,fiction
April 30,A Tree Grows in Brooklyn,Betty Smith,1944,fiction
May 7,A Tree Grows in Brooklyn,Betty Smith,1944,fiction
May 14,Strange Fruit,Lillian Smith,1944,fiction
May 21,A Tree Grows in Brooklyn,Betty Smith,1944,fiction
May 28,A Tree Grows in Brooklyn,Betty Smith,1944,fiction
June 4,Strange Fruit,Lillian Smith,1944,fiction
June 11,Strange Fruit,Lillian Smith,1944,fiction
June 18,A Tree Grows in Brooklyn,Betty Smith,1944,fiction
June 25,Strange Fruit,Lillian Smith,1944,fiction
July 2,The Razor's Edge,Somerset Maugham,1944,fiction
July 9,Strange Fruit,Lillian Smith,1944,fiction
July 16,Strange Fruit,Lillian Smith,1944,fiction
July 23,Strange Fruit,Lillian Smith,1944,fiction
July 30,The Razor's Edge,Somerset Maugham,1944,fiction
August 6,Strange Fruit,Lillian Smith,1944,fiction
August 13,Strange Fruit,Lillian Smith,1944,fiction
August 20,The Razor's Edge,Somerset Maugham,1944,fiction
August 27,Strange Fruit,Lillian Smith,1944,fiction
September 3,Strange Fruit,Lillian Smith,1944,fiction
September 10,Strange Fruit,Lillian Smith,1944,fiction
September 17,Strange Fruit,Lillian Smith,1944,fiction
September 24,The Razor's Edge,Somerset Maugham,1944,fiction
October 1,Strange Fruit,Lillian Smith,1944,fiction
October 8,Strange Fruit,Lillian Smith,1944,fiction
October 15,Green Dolphin Street,Elizabeth Goudge,1944,fiction
October 22,Green Dolphin Street,Elizabeth Goudge,1944,fiction
October 29,Green Dolphin Street,Elizabeth Goudge,1944,fiction
November 5,Green Dolphin Street,Elizabeth Goudge,1944,fiction
November 12,Forever Amber,Kathleen Winsor,1944,fiction
November 19,Forever Amber,Kathleen Winsor,1944,fiction
November 26,Forever Amber,Kathleen Winsor,1944,fiction
December 3,Green Dolphin Street,Elizabeth Goudge,1944,fiction
December 10,Forever Amber,Kathleen Winsor,1944,fiction
December 17,The Green Years,A. J. Cronin,1944,fiction
December 25,Forever Amber,Kathleen Winsor,1944,fiction
