Date,Book,Author,Publisher,Year,Genre
January 3,A Time for Mercy,John Grisham,Doubleday,2021,fiction
January 10,A Time for Mercy,John Grisham,Doubleday,2021,fiction
January 17,The Duke and I,Julia Quinn,Avon,2021,fiction
January 24,The Duke and I,Julia Quinn,Avon,2021,fiction
January 31,The Duke and I,Julia Quinn,Avon,2021,fiction
February 7,The Duke and I,Julia Quinn,Avon,2021,fiction
February 14,The Russian,James Patterson and James O. Born,"Little, Brown and Company",2021,fiction
February 21,The Four Winds,Kristin Hannah,St. Martin's Press,2021,fiction
February 28,The Four Winds,Kristin Hannah,St. Martin's Press,2021,fiction
March 7,A Court of Silver Flames,Sarah J. Maas,Bloomsbury Publishing,2021,fiction
March 14,The Four Winds,Kristin Hannah,St. Martin's Press,2021,fiction
March 21,Life After Death,Sister Souljah,Emily Bestler Books,2021,fiction
March 28,The Four Winds,Kristin Hannah,St. Martin's Press,2021,fiction
April 4,Win,Harlen Coben,Grand Central Publishing,2021,fiction
April 11,The Four Winds,Kristin Hannah,St. Martin's Press,2021,fiction
April 18,The Hill We Climb,Amanda Gorman,Viking Books,2021,fiction
April 25,The Hill We Climb,Amanda Gorman,Viking Books,2021,fiction
May 2,Ocean Prey,John Sandford,G. P. Putnam's Sons,2021,fiction
May 9,A Gambling Man,David Baldacci,Grand Central Publishing,2021,fiction
May 16,Sooley,John Grisham,Doubleday,2021,fiction
May 23,21st Birthday,James Patterson and Maxine Paetro,"Little, Brown and Company",2021,fiction
