Date,Book,Author,Year,Genre
January 6,The No Spin Zone,Bill O'Reilly,2002,nonfiction
January 13,John Adams,David McCullough,2002,nonfiction
January 20,Bias,Bernard Goldberg,2002,nonfiction
January 27,Bias,Bernard Goldberg,2002,nonfiction
February 3,Bias,Bernard Goldberg,2002,nonfiction
February 10,Bias,Bernard Goldberg,2002,nonfiction
February 17,Bias,Bernard Goldberg,2002,nonfiction
February 24,Shadow Warriors,Tom Clancy,2002,nonfiction
March 3,Shadow Warriors,Tom Clancy,2002,nonfiction
March 10,Bias,Bernard Goldberg,2002,nonfiction
March 17,Bias,Bernard Goldberg,2002,nonfiction
March 24,Stupid White Men,Michael Moore,2002,nonfiction
March 31,Stupid White Men,Michael Moore,2002,nonfiction
April 7,Stupid White Men,Michael Moore,2002,nonfiction
April 14,Stupid White Men,Michael Moore,2002,nonfiction
April 21,Lucky Man,Michael J. Fox,2002,nonfiction
April 28,Lucky Man,Michael J. Fox,2002,nonfiction
May 5,Lucky Man,Michael J. Fox,2002,nonfiction
May 1,Lucky Man,Michael J. Fox,2002,nonfiction
May 19,Master of the Senate,Robert A. Caro,2002,nonfiction
May 26,Lucky Man,Michael J. Fox,2002,nonfiction
June 2,American Son,Richard Blow,2002,nonfiction
June 9,A Mind at a Time,Mel Levine,2002,nonfiction
June 16,The Right Words at the Right Time,Marlo Thomas,2002,nonfiction
June 23,Stupid White Men,Michael Moore,2002,nonfiction
June 30,You Cannot Be Serious,John McEnroe with James Kaplan,2002,nonfiction
July 7,You Cannot Be Serious,John McEnroe with James Kaplan,2002,nonfiction
July 14,Slander,Ann Coulter,2002,nonfiction
July 21,Slander,Ann Coulter,2002,nonfiction
July 28,Slander,Ann Coulter,2002,nonfiction
August 4,Slander,Ann Coulter,2002,nonfiction
August 11,Slander,Ann Coulter,2002,nonfiction
August 18,Slander,Ann Coulter,2002,nonfiction
August 25,Slander,Ann Coulter,2002,nonfiction
September 1,Slander,Ann Coulter,2002,nonfiction
September 8,Let's Roll!,Lisa Beamer with Ken Abraham,2002,nonfiction
September 15,Let's Roll!,Lisa Beamer with Ken Abraham,2002,nonfiction
September 22,Let's Roll!,Lisa Beamer with Ken Abraham,2002,nonfiction
September 29,Let's Roll!,Lisa Beamer with Ken Abraham,2002,nonfiction
October 6,Let's Roll!,Lisa Beamer with Ken Abraham,2002,nonfiction
October 13,Let's Roll!,Lisa Beamer with Ken Abraham,2002,nonfiction
October 20,Leadership,Rudy Giuliani with Ken Kurson,2002,nonfiction
October 27,Leadership,Rudy Giuliani with Ken Kurson,2002,nonfiction
November 3,Leadership,Rudy Giuliani with Ken Kurson,2002,nonfiction
November 10,Leadership,Rudy Giuliani with Ken Kurson,2002,nonfiction
November 17,Leadership,Rudy Giuliani with Ken Kurson,2002,nonfiction
November 24,Journals,Kurt Cobain,2002,nonfiction
December 1,Portrait of a Killer,Patricia Cornwell,2002,nonfiction
December 8,Portrait of a Killer,Patricia Cornwell,2002,nonfiction
December 15,Bush at War,Bob Woodward,2002,nonfiction
December 22,Bush at War,Bob Woodward,2002,nonfiction
December 29,Bush at War,Bob Woodward,2002,nonfiction
