Date,Book,Author,Publisher,Year,Genre
January 5,Things That Matter,Charles Krauthammer,Crown Forum,2014,nonfiction
January 12,Things That Matter,Charles Krauthammer,Crown Forum,2014,nonfiction
January 19,Things That Matter,Charles Krauthammer,Crown Forum,2014,nonfiction
January 26,Things That Matter,Charles Krauthammer,Crown Forum,2014,nonfiction
February 2,Duty,Robert M. Gates,Knopf,2014,nonfiction
February 9,Duty,Robert M. Gates,Knopf,2014,nonfiction
February 16,Duty,Robert M. Gates,Knopf,2014,nonfiction
February 23,Duty,Robert M. Gates,Knopf,2014,nonfiction
March 2,Duty,Robert M. Gates,Knopf,2014,nonfiction
March 9,David and Goliath,Malcolm Gladwell,"Little, Brown",2014,nonfiction
March 16,The Future of the Mind,Michio Kaku,Doubleday,2014,nonfiction
March 23,Uganda Be Kidding Me,Chelsea Handler,Grand Central,2014,nonfiction
March 30,Uganda Be Kidding Me,Chelsea Handler,Grand Central,2014,nonfiction
April 6,10% Happier,Dan Harris,It Books,2014,nonfiction
April 13,Thrive,Arianna Huffington,Harmony Books,2014,nonfiction
April 20,Flash Boys,Michael Lewis,Norton,2014,nonfiction
April 27,Flash Boys,Michael Lewis,Norton,2014,nonfiction
May 4,Flash Boys,Michael Lewis,Norton,2014,nonfiction
May 11,Flash Boys,Michael Lewis,Norton,2014,nonfiction
May 18,Capital in the Twenty-First Century,Thomas Piketty,Belknap/Harvard University,2014,nonfiction
May 25,Capital in the Twenty-First Century,Thomas Piketty,Belknap/Harvard University,2014,nonfiction
June 1,Capital in the Twenty-First Century,Thomas Piketty,Belknap/Harvard University,2014,nonfiction
June 8,One Nation,Ben Carson with Candy Carson,Sentinel,2014,nonfiction
June 15,One Nation,Ben Carson with Candy Carson,Sentinel,2014,nonfiction
June 22,One Nation,Ben Carson with Candy Carson,Sentinel,2014,nonfiction
June 29,Hard Choices,Hillary Rodham Clinton,Simon & Schuster,2014,nonfiction
July 6,Hard Choices,Hillary Rodham Clinton,Simon & Schuster,2014,nonfiction
July 13,Hard Choices,Hillary Rodham Clinton,Simon & Schuster,2014,nonfiction
July 20,Blood Feud,Edward Klein,Regnery,2014,nonfiction
July 27,Unbroken,Laura Hillenbrand,Random House,2014,nonfiction
August 3,Unbroken,Laura Hillenbrand,Random House,2014,nonfiction
August 10,America,Dinesh D'Souza,Regnery,2014,nonfiction
August 17,America,Dinesh D'Souza,Regnery,2014,nonfiction
August 24,America,Dinesh D'Souza,Regnery,2014,nonfiction
August 31,America,Dinesh D'Souza,Regnery,2014,nonfiction
September 7,One Nation,Ben Carson with Candy Carson,Sentinel,2014,nonfiction
September 14,One Nation,Ben Carson with Candy Carson,Sentinel,2014,nonfiction
September 21,What If,Randall Munroe,Houghton Mifflin Harcourt,2014,nonfiction
September 28,What If,Randall Munroe,Houghton Mifflin Harcourt,2014,nonfiction
October 5,13 Hours,Mitchell Zuckoff,Twelve,2014,nonfiction
October 12,Killing Patton,Bill O'Reilly and Martin Dugard,Holt,2014,nonfiction
October 19,Killing Patton,Bill O'Reilly and Martin Dugard,Holt,2014,nonfiction
October 26,Killing Patton,Bill O'Reilly and Martin Dugard,Holt,2014,nonfiction
November 2,Killing Patton,Bill O'Reilly and Martin Dugard,Holt,2014,nonfiction
November 9,Killing Patton,Bill O'Reilly and Martin Dugard,Holt,2014,nonfiction
November 16,Yes Please,Amy Poehler,Dey St./Morrow,2014,nonfiction
November 23,Killing Patton,Bill O'Reilly and Martin Dugard,Holt,2014,nonfiction
November 30,41,George W. Bush,Crown,2014,nonfiction
December 7,41,George W. Bush,Crown,2014,nonfiction
December 14,41,George W. Bush,Crown,2014,nonfiction
December 21,Humans of New York,Brandon Stanton,St. Martin's,2014,nonfiction
December 28,Killing Patton,Bill O'Reilly and Martin Dugard,Holt,2014,nonfiction
