,Author,Book,Genre,Year
0,Warwick Deeping,The Ten Commandments,fiction,1931
5,John Galsworthy,Maid in Waiting,fiction,1931
7,John Galsworthy,Maid in Waiting,fiction,1931
8,John Galsworthy,Maid in Waiting,fiction,1931
9,John Galsworthy,Maid in Waiting,fiction,1931
10,John Galsworthy,Maid in Waiting,fiction,1931
11,John Galsworthy,Maid in Waiting,fiction,1931
12,John Galsworthy,Maid in Waiting,fiction,1932
13,William McFee,The Harbourmaster,fiction,1932
14,William McFee,The Harbourmaster,fiction,1932
15,Francis Brett Young,Mr. and Mrs. Pennington,fiction,1932
16,Francis Brett Young,Mr. and Mrs. Pennington,fiction,1932
17,Robert Herrick,The End of Desire,fiction,1932
18,Booth Tarkington,Mary's Neck,fiction,1932
19,Booth Tarkington,Mary's Neck,fiction,1932
20,Booth Tarkington,Mary's Neck,fiction,1932
21,Booth Tarkington,Mary's Neck,fiction,1932
22,Booth Tarkington,Mary's Neck,fiction,1932
23,Booth Tarkington,Mary's Neck,fiction,1932
24,Booth Tarkington,Mary's Neck,fiction,1932
25,Louis Golding,Magnolia Street,fiction,1932
26,Louis Golding,Magnolia Street,fiction,1932
27,Louis Golding,Magnolia Street,fiction,1932
28,Louis Golding,Magnolia Street,fiction,1932
29,Julia Peterkin,Bright Skin,fiction,1932
30,Louis Bromfield,A Modern Hero,fiction,1932
31,Pearl S. Buck,The Good Earth,fiction,1932
32,Pearl S. Buck,The Good Earth,fiction,1932
33,Pearl S. Buck,The Good Earth,fiction,1932
34,Faith Baldwin,District Nurse,fiction,1932
35,Charles Langbridge Morgan,The Fountain,fiction,1932
36,Charles Langbridge Morgan,The Fountain,fiction,1932
37,Charles Langbridge Morgan,The Fountain,fiction,1932
38,Charles Langbridge Morgan,The Fountain,fiction,1932
39,Charles Langbridge Morgan,The Fountain,fiction,1932
40,Charles Langbridge Morgan,The Fountain,fiction,1932
41,Charles Langbridge Morgan,The Fountain,fiction,1932
42,Charles Langbridge Morgan,The Fountain,fiction,1932
43,Charles Langbridge Morgan,The Fountain,fiction,1932
44,J. B. Priestley,Faraway,fiction,1932
45,Mazo De La Roche,Lark Ascending,fiction,1932
46,Charles Langbridge Morgan,The Fountain,fiction,1932
47,Manuel Komroff,A New York Tempest,fiction,1932
48,Ellen Glasgow,The Sheltered Life,fiction,1932
49,Ellen Glasgow,The Sheltered Life,fiction,1932
50,Ellen Glasgow,The Sheltered Life,fiction,1932
51,Pearl S. Buck,Sons,fiction,1932
52,Pearl S. Buck,Sons,fiction,1932
53,Pearl S. Buck,Sons,fiction,1932
54,Pearl S. Buck,Sons,fiction,1932
55,Pearl S. Buck,Sons,fiction,1932
56,Pearl S. Buck,Sons,fiction,1932
57,Rosamond Lehmann,Invitation to the Waltz,fiction,1932
58,John Galsworthy,Flowering Wilderness,fiction,1932
59,John Galsworthy,Flowering Wilderness,fiction,1932
60,John Galsworthy,Flowering Wilderness,fiction,1932
61,John Galsworthy,Flowering Wilderness,fiction,1932
62,John Galsworthy,Flowering Wilderness,fiction,1932
63,John Galsworthy,Flowering Wilderness,fiction,1932
64,John Galsworthy,Flowering Wilderness,fiction,1933
65,John Galsworthy,Flowering Wilderness,fiction,1933
66,James Gould Cozzens,The Last Adam,fiction,1933
67,James Gould Cozzens,The Last Adam,fiction,1933
68,Sinclair Lewis,Ann Vickers,fiction,1933
69,Sinclair Lewis,Ann Vickers,fiction,1933
70,Sinclair Lewis,Ann Vickers,fiction,1933
71,Sinclair Lewis,Ann Vickers,fiction,1933
72,Sinclair Lewis,Ann Vickers,fiction,1933
73,Sinclair Lewis,Ann Vickers,fiction,1933
