,Author,Book,Genre,Year
0,Warwick Deeping,The Ten Commandments,fiction,1931
1,John Galsworthy,Maid in Waiting,fiction,1931
2,William McFee,The Harbourmaster,fiction,1932
3,Francis Brett Young,Mr. and Mrs. Pennington,fiction,1932
4,Robert Herrick,The End of Desire,fiction,1932
5,Booth Tarkington,Mary's Neck,fiction,1932
6,Louis Golding,Magnolia Street,fiction,1932
7,Julia Peterkin,Bright Skin,fiction,1932
8,Louis Bromfield,A Modern Hero,fiction,1932
9,Pearl S. Buck,The Good Earth,fiction,1932
10,Faith Baldwin,District Nurse,fiction,1932
11,Charles Langbridge Morgan,The Fountain,fiction,1932
12,J. B. Priestley,Faraway,fiction,1932
13,Mazo De La Roche,Lark Ascending,fiction,1932
14,Manuel Komroff,A New York Tempest,fiction,1932
15,Ellen Glasgow,The Sheltered Life,fiction,1932
16,Pearl S. Buck,Sons,fiction,1932
17,Rosamond Lehmann,Invitation to the Waltz,fiction,1932
18,John Galsworthy,Flowering Wilderness,fiction,1932
19,James Gould Cozzens,The Last Adam,fiction,1933
20,Sinclair Lewis,Ann Vickers,fiction,1933
21,Guy Endore,The Werewolf of Paris,fiction,1933
22,Thorne Smith,Rain in the Doorway,fiction,1933
23,Gladys Hasty Carroll,As the Earth Turns,fiction,1933
24,T. S. Stribling,The Store,fiction,1933
25,Hans Fallada,"Little Man, What Now?",fiction,1933
26,Hervey Allen,Anthony Adverse,fiction,1933
27,Dashiell Hammett,The Thin Man,fiction,1934
28,Sinclair Lewis,Work of Art,fiction,1934
29,Lion Feuchtwanger,The Oppermanns,fiction,1934
30,Isak Dinesen,Seven Gothic Tales,fiction,1934
31,F. Scott Fitzgerald,Tender is the Night,fiction,1934
32,Caroline Miller,Lamb in His Bosom,fiction,1934
33,Louis Golding,Five Silver Daughters,fiction,1934
34,Robert Graves,"I, Claudius",fiction,1934
35,Stark Young,So Red the Rose,fiction,1934
36,Hervey Allen,Lost Horizon,fiction,1934
37,Franz Werfel,The Forty Days of Musa Dagh,fiction,1934
38,Thornton Wilder,Heaven's My Destination,fiction,1935
39,Edna Ferber,Come and Get It,fiction,1935
40,Thomas Wolfe,Of Time and the River,fiction,1935
41,Lloyd C. Douglas,Green Light,fiction,1935
42,Josephine Johnson,Now in November,fiction,1935
43,Mazo De La Roche,Young Renny,fiction,1935
