,Author,Book,Genre,Year,Searching_Value,Searching_Value2
0,Warwick Deeping,The Ten Commandments,fiction,1931,The Ten Commandments Warwick Deeping,The+Ten+Commandments+Warwick+Deeping
1,John Galsworthy,Maid in Waiting,fiction,1931,Maid in Waiting John Galsworthy,Maid+in+Waiting+John+Galsworthy
2,William McFee,The Harbourmaster,fiction,1932,The Harbourmaster William McFee,The+Harbourmaster+William+McFee
3,Francis Brett Young,Mr. and Mrs. Pennington,fiction,1932,Mr. and Mrs. Pennington Francis Brett Young,Mr.+and+Mrs.+Pennington+Francis+Brett+Young
4,Robert Herrick,The End of Desire,fiction,1932,The End of Desire Robert Herrick,The+End+of+Desire+Robert+Herrick
5,Booth Tarkington,Mary's Neck,fiction,1932,Mary's Neck Booth Tarkington,Mary's+Neck+Booth+Tarkington
6,Louis Golding,Magnolia Street,fiction,1932,Magnolia Street Louis Golding,Magnolia+Street+Louis+Golding
7,Julia Peterkin,Bright Skin,fiction,1932,Bright Skin Julia Peterkin,Bright+Skin+Julia+Peterkin
8,Louis Bromfield,A Modern Hero,fiction,1932,A Modern Hero Louis Bromfield,A+Modern+Hero+Louis+Bromfield
9,Pearl S. Buck,The Good Earth,fiction,1932,The Good Earth Pearl S. Buck,The+Good+Earth+Pearl+S.+Buck
10,Faith Baldwin,District Nurse,fiction,1932,District Nurse Faith Baldwin,District+Nurse+Faith+Baldwin
11,Charles Langbridge Morgan,The Fountain,fiction,1932,The Fountain Charles Langbridge Morgan,The+Fountain+Charles+Langbridge+Morgan
12,J. B. Priestley,Faraway,fiction,1932,Faraway J. B. Priestley,Faraway+J.+B.+Priestley
13,Mazo De La Roche,Lark Ascending,fiction,1932,Lark Ascending Mazo De La Roche,Lark+Ascending+Mazo+De+La+Roche
14,Manuel Komroff,A New York Tempest,fiction,1932,A New York Tempest Manuel Komroff,A+New+York+Tempest+Manuel+Komroff
15,Ellen Glasgow,The Sheltered Life,fiction,1932,The Sheltered Life Ellen Glasgow,The+Sheltered+Life+Ellen+Glasgow
16,Pearl S. Buck,Sons,fiction,1932,Sons Pearl S. Buck,Sons+Pearl+S.+Buck
17,Rosamond Lehmann,Invitation to the Waltz,fiction,1932,Invitation to the Waltz Rosamond Lehmann,Invitation+to+the+Waltz+Rosamond+Lehmann
18,John Galsworthy,Flowering Wilderness,fiction,1932,Flowering Wilderness John Galsworthy,Flowering+Wilderness+John+Galsworthy
19,James Gould Cozzens,The Last Adam,fiction,1933,The Last Adam James Gould Cozzens,The+Last+Adam+James+Gould+Cozzens
20,Sinclair Lewis,Ann Vickers,fiction,1933,Ann Vickers Sinclair Lewis,Ann+Vickers+Sinclair+Lewis
21,Guy Endore,The Werewolf of Paris,fiction,1933,The Werewolf of Paris Guy Endore,The+Werewolf+of+Paris+Guy+Endore
22,Thorne Smith,Rain in the Doorway,fiction,1933,Rain in the Doorway Thorne Smith,Rain+in+the+Doorway+Thorne+Smith
23,Gladys Hasty Carroll,As the Earth Turns,fiction,1933,As the Earth Turns Gladys Hasty Carroll,As+the+Earth+Turns+Gladys+Hasty+Carroll
24,T. S. Stribling,The Store,fiction,1933,The Store T. S. Stribling,The+Store+T.+S.+Stribling
25,Hans Fallada,"Little Man, What Now?",fiction,1933,"Little Man, What Now? Hans Fallada","Little+Man,+What+Now?+Hans+Fallada"
26,Hervey Allen,Anthony Adverse,fiction,1933,Anthony Adverse Hervey Allen,Anthony+Adverse+Hervey+Allen
27,,,fiction,1933,,
28,Dashiell Hammett,The Thin Man,fiction,1934,The Thin Man Dashiell Hammett,The+Thin+Man+Dashiell+Hammett
29,Sinclair Lewis,Work of Art,fiction,1934,Work of Art Sinclair Lewis,Work+of+Art+Sinclair+Lewis
30,Lion Feuchtwanger,The Oppermanns,fiction,1934,The Oppermanns Lion Feuchtwanger,The+Oppermanns+Lion+Feuchtwanger
31,Isak Dinesen,Seven Gothic Tales,fiction,1934,Seven Gothic Tales Isak Dinesen,Seven+Gothic+Tales+Isak+Dinesen
32,F. Scott Fitzgerald,Tender is the Night,fiction,1934,Tender is the Night F. Scott Fitzgerald,Tender+is+the+Night+F.+Scott+Fitzgerald
33,Caroline Miller,Lamb in His Bosom,fiction,1934,Lamb in His Bosom Caroline Miller,Lamb+in+His+Bosom+Caroline+Miller
34,Louis Golding,Five Silver Daughters,fiction,1934,Five Silver Daughters Louis Golding,Five+Silver+Daughters+Louis+Golding
35,Robert Graves,"I, Claudius",fiction,1934,"I, Claudius Robert Graves","I,+Claudius+Robert+Graves"
36,Stark Young,So Red the Rose,fiction,1934,So Red the Rose Stark Young,So+Red+the+Rose+Stark+Young
37,Hervey Allen,Lost Horizon,fiction,1934,Lost Horizon Hervey Allen,Lost+Horizon+Hervey+Allen
38,Franz Werfel,The Forty Days of Musa Dagh,fiction,1934,The Forty Days of Musa Dagh Franz Werfel,The+Forty+Days+of+Musa+Dagh+Franz+Werfel
39,Thornton Wilder,Heaven's My Destination,fiction,1935,Heaven's My Destination Thornton Wilder,Heaven's+My+Destination+Thornton+Wilder
40,Edna Ferber,Come and Get It,fiction,1935,Come and Get It Edna Ferber,Come+and+Get+It+Edna+Ferber
41,Thomas Wolfe,Of Time and the River,fiction,1935,Of Time and the River Thomas Wolfe,Of+Time+and+the+River+Thomas+Wolfe
42,Lloyd C. Douglas,Green Light,fiction,1935,Green Light Lloyd C. Douglas,Green+Light+Lloyd+C.+Douglas
43,Josephine Johnson,Now in November,fiction,1935,Now in November Josephine Johnson,Now+in+November+Josephine+Johnson
44,Mazo De La Roche,Young Renny,fiction,1935,Young Renny Mazo De La Roche,Young+Renny+Mazo+De+La+Roche
45,Humphrey Cobb,Paths of Glory,fiction,1935,Paths of Glory Humphrey Cobb,Paths+of+Glory+Humphrey+Cobb
46,Willa Cather,Lucy Gayheart,fiction,1935,Lucy Gayheart Willa Cather,Lucy+Gayheart+Willa+Cather
47,Ellen Glasgow,Vein of Iron,fiction,1935,Vein of Iron Ellen Glasgow,Vein+of+Iron+Ellen+Glasgow
48,Robert Briffault,Europa,fiction,1935,Europa Robert Briffault,Europa+Robert+Briffault
49,Sinclair Lewis,It Can't Happen Here,fiction,1935,It Can't Happen Here Sinclair Lewis,It+Can't+Happen+Here+Sinclair+Lewis
50,Josephine Lawrence,If I Have Four Apples,fiction,1936,If I Have Four Apples Josephine Lawrence,If+I+Have+Four+Apples+Josephine+Lawrence
51,George Santayana,The Last Puritan,fiction,1936,The Last Puritan George Santayana,The+Last+Puritan+George+Santayana
52,Charles Langbridge Morgan,Sparkenbroke,fiction,1936,Sparkenbroke Charles Langbridge Morgan,Sparkenbroke+Charles+Langbridge+Morgan
53,Rosamond Lehmann,The Weather in the Streets,fiction,1936,The Weather in the Streets Rosamond Lehmann,The+Weather+in+the+Streets+Rosamond+Lehmann
54,Mary Roberts Rinehart,The Doctor,fiction,1936,The Doctor Mary Roberts Rinehart,The+Doctor+Mary+Roberts+Rinehart
55,Vincent Sheean,Sanfelice,fiction,1936,Sanfelice Vincent Sheean,Sanfelice+Vincent+Sheean
56,Margaret Mitchell,Gone with the Wind,fiction,1936,Gone with the Wind Margaret Mitchell,Gone+with+the+Wind+Margaret+Mitchell
57,Walter D. Edmonds,Drums Along the Mohawk,fiction,1937,Drums Along the Mohawk Walter D. Edmonds,Drums+Along+the+Mohawk+Walter+D.+Edmonds
58,Somerset Maugham,Theatre,fiction,1937,Theatre Somerset Maugham,Theatre+Somerset+Maugham
59,Virginia Woolf,The Years,fiction,1937,The Years Virginia Woolf,The+Years+Virginia+Woolf
60,Millen Brand,The Outward Room,fiction,1937,The Outward Room Millen Brand,The+Outward+Room+Millen+Brand
61,Kenneth Roberts,Northwest Passage,fiction,1937,Northwest Passage Kenneth Roberts,Northwest+Passage+Kenneth+Roberts
62,A. J. Cronin,The Citadel,fiction,1937,The Citadel A. J. Cronin,The+Citadel+A.+J.+Cronin
